strategy,rack_id,workload_expected_visits,distinct_sku_count,inventory_load_count
Pure affinity,G27_5,189.0,7,12
Pure affinity,G27_6,243.0,7,12
Pure affinity,G27_7,264.0,9,12
Pure affinity,G27_8,209.0,9,12
Pure affinity,G27_9,244.0,10,12
Pure affinity,G28_2,112.0,4,12
Pure affinity,G29_10,114.0,4,12
Pure affinity,G29_12,114.0,4,12
Pure affinity,G29_13,2213.0,12,12
Pure affinity,G29_14,31.0,12,12
Pure affinity,G29_15,434.0,12,12
Pure affinity,G29_2,73.0,3,12
Pure affinity,G29_4,112.0,4,12
Pure affinity,G29_5,112.0,4,12
Pure affinity,G29_6,113.0,4,12
Pure affinity,G29_7,114.0,4,12
Pure affinity,G29_8,114.0,4,12
Pure affinity,G29_9,114.0,4,12
Pure affinity,G2_10,3728.0,12,12
Pure affinity,G2_12,594.0,12,12
Pure affinity,G2_13,3512.0,12,12
Pure affinity,G2_14,2727.0,12,12
Pure affinity,G2_15,2148.0,12,12
Pure affinity,G2_5,42.0,2,3
Pure affinity,G2_6,239.0,2,12
Pure affinity,G2_7,819.0,6,12
Pure affinity,G2_8,1531.0,11,12
Pure affinity,G2_9,2046.0,12,12
Pure affinity,G30_10,112.0,4,12
Pure affinity,G30_12,112.0,4,12
Pure affinity,G30_13,26.0,12,12
Pure affinity,G30_14,38.0,12,12
Pure affinity,G30_15,113.0,12,12
Pure affinity,G30_2,72.0,3,12
Pure affinity,G30_4,73.0,3,12
Pure affinity,G30_5,96.0,4,12
Pure affinity,G30_6,111.0,4,12
Pure affinity,G30_7,112.0,4,12
Pure affinity,G30_8,112.0,4,12
Pure affinity,G30_9,111.0,4,12
Pure affinity,G31_2,129.0,1,12
Pure affinity,G32_10,81.0,2,12
Pure affinity,G32_12,80.0,2,12
Pure affinity,G32_13,120.0,2,12
Pure affinity,G32_14,129.0,1,12
Pure affinity,G32_15,129.0,1,12
Pure affinity,G32_2,128.0,1,12
Pure affinity,G32_4,129.0,1,12
Pure affinity,G32_5,129.0,1,12
Pure affinity,G32_6,80.0,2,12
Pure affinity,G32_7,81.0,2,12
Pure affinity,G32_8,72.0,3,12
Pure affinity,G32_9,74.0,3,12
Pure affinity,G33_12,129.0,1,12
Pure affinity,G33_13,129.0,1,12
Pure affinity,G33_5,63.0,1,6
Pure affinity,G33_6,129.0,1,12
Pure affinity,G33_7,129.0,1,12
Pure affinity,G33_8,129.0,1,12
Pure affinity,G3_10,3897.0,12,12
Pure affinity,G3_12,4923.0,12,12
Pure affinity,G3_13,5592.0,12,12
Pure affinity,G3_14,5232.0,12,12
Pure affinity,G3_15,6494.0,12,12
Pure affinity,G3_4,709.0,4,12
Pure affinity,G3_5,1850.0,12,12
Pure affinity,G3_6,3376.0,12,12
Pure affinity,G3_7,340.0,12,12
Pure affinity,G3_8,1349.0,12,12
Pure affinity,G3_9,2337.0,12,12
Pure affinity,G5_1,304.0,12,12
Pure affinity,G5_10,831.0,12,12
Pure affinity,G5_12,1184.0,12,12
Pure affinity,G5_13,1813.0,12,12
Pure affinity,G5_14,1842.0,12,12
Pure affinity,G5_15,1325.0,12,12
Pure affinity,G5_2,1691.0,12,12
Pure affinity,G5_4,783.0,12,12
Pure affinity,G5_5,769.0,12,12
Pure affinity,G5_6,3011.0,12,12
Pure affinity,G5_7,2656.0,12,12
Pure affinity,G5_8,425.0,12,12
Pure affinity,G5_9,3128.0,12,12
Pure affinity,G6_1,930.0,12,12
Pure affinity,G6_10,918.0,12,12
Pure affinity,G6_12,1874.0,12,12
Pure affinity,G6_13,2092.0,12,12
Pure affinity,G6_14,2371.0,12,12
Pure affinity,G6_15,2179.0,12,12
Pure affinity,G6_2,565.0,12,12
Pure affinity,G6_4,1365.0,12,12
Pure affinity,G6_5,844.0,12,12
Pure affinity,G6_6,3706.0,12,12
Pure affinity,G6_7,3429.0,12,12
Pure affinity,G6_8,1377.0,12,12
Pure affinity,G6_9,630.0,12,12
Pure affinity,G8_12,2584.0,12,12
Pure affinity,G8_13,3336.0,12,12
Pure affinity,G8_14,2997.0,12,12
Pure affinity,G8_15,2762.0,12,12
Pure affinity,G8_4,599.0,12,12
Pure affinity,G8_5,1559.0,12,12
Pure affinity,G8_6,2276.0,12,12
Pure affinity,G8_7,3729.0,12,12
Pure affinity,G8_8,2651.0,12,12
Pure affinity,G9_10,3626.0,12,12
Pure affinity,G9_12,3802.0,12,12
Pure affinity,G9_13,3713.0,12,12
Pure affinity,G9_14,3764.0,12,12
Pure affinity,G9_15,3118.0,12,12
Pure affinity,G9_2,3612.0,12,12
Pure affinity,G9_4,2105.0,12,12
Pure affinity,G9_5,3553.0,12,12
Pure affinity,G9_6,3621.0,12,12
Pure affinity,G9_7,1576.0,12,12
Pure affinity,G9_8,2305.0,12,12
Pure affinity,G9_9,2893.0,12,12
Traffic aware - zone balance off,G0_0,1291.0,6,6
Traffic aware - zone balance off,G0_1,514.0,6,8
Traffic aware - zone balance off,G0_10,1439.0,9,10
Traffic aware - zone balance off,G0_11,1818.0,7,7
Traffic aware - zone balance off,G0_12,1930.0,8,10
Traffic aware - zone balance off,G0_13,1987.0,11,11
Traffic aware - zone balance off,G0_14,2133.0,6,8
Traffic aware - zone balance off,G0_15,2247.0,8,10
Traffic aware - zone balance off,G0_2,590.0,8,9
Traffic aware - zone balance off,G0_3,601.0,8,8
Traffic aware - zone balance off,G0_4,760.0,10,10
Traffic aware - zone balance off,G0_5,791.0,8,9
Traffic aware - zone balance off,G0_6,883.0,10,10
Traffic aware - zone balance off,G0_7,994.0,8,8
Traffic aware - zone balance off,G0_8,1229.0,6,7
Traffic aware - zone balance off,G0_9,1272.0,8,10
Traffic aware - zone balance off,G11_1,1243.0,7,7
Traffic aware - zone balance off,G11_10,2950.0,9,10
Traffic aware - zone balance off,G11_12,3073.0,11,12
Traffic aware - zone balance off,G11_13,3397.0,6,7
Traffic aware - zone balance off,G11_14,3739.0,10,11
Traffic aware - zone balance off,G11_15,3953.0,11,11
Traffic aware - zone balance off,G11_2,1502.0,8,9
Traffic aware - zone balance off,G11_4,1915.0,9,11
Traffic aware - zone balance off,G11_5,2161.0,9,9
Traffic aware - zone balance off,G11_6,2164.0,8,10
Traffic aware - zone balance off,G11_7,2468.0,9,10
Traffic aware - zone balance off,G11_8,2500.0,10,10
Traffic aware - zone balance off,G11_9,2592.0,9,10
Traffic aware - zone balance off,G12_1,1345.0,8,8
Traffic aware - zone balance off,G12_10,2912.0,8,9
Traffic aware - zone balance off,G12_12,3188.0,9,9
Traffic aware - zone balance off,G12_13,3433.0,10,10
Traffic aware - zone balance off,G12_14,3513.0,10,11
Traffic aware - zone balance off,G12_15,2326.0,12,12
Traffic aware - zone balance off,G12_2,1666.0,8,9
Traffic aware - zone balance off,G12_4,1971.0,9,10
Traffic aware - zone balance off,G12_5,2221.0,6,10
Traffic aware - zone balance off,G12_6,2416.0,9,9
Traffic aware - zone balance off,G12_7,2579.0,7,8
Traffic aware - zone balance off,G12_8,2609.0,8,9
Traffic aware - zone balance off,G12_9,3034.0,11,11
Traffic aware - zone balance off,G14_1,1407.0,9,9
Traffic aware - zone balance off,G14_10,3044.0,8,8
Traffic aware - zone balance off,G14_12,3402.0,12,12
Traffic aware - zone balance off,G14_13,3513.0,12,12
Traffic aware - zone balance off,G14_14,3760.0,10,10
Traffic aware - zone balance off,G14_15,4194.0,10,10
Traffic aware - zone balance off,G14_2,1748.0,8,11
Traffic aware - zone balance off,G14_4,2013.0,8,8
Traffic aware - zone balance off,G14_5,2169.0,10,10
Traffic aware - zone balance off,G14_6,2392.0,8,8
Traffic aware - zone balance off,G14_7,2401.0,8,10
Traffic aware - zone balance off,G14_8,2625.0,11,11
Traffic aware - zone balance off,G14_9,2897.0,10,10
Traffic aware - zone balance off,G15_1,1583.0,8,9
Traffic aware - zone balance off,G15_10,3546.0,11,12
Traffic aware - zone balance off,G15_12,3547.0,10,10
Traffic aware - zone balance off,G15_13,3621.0,9,10
Traffic aware - zone balance off,G15_14,4069.0,10,10
Traffic aware - zone balance off,G15_15,4564.0,9,9
Traffic aware - zone balance off,G15_2,1838.0,8,10
Traffic aware - zone balance off,G15_4,2129.0,12,12
Traffic aware - zone balance off,G15_5,2285.0,8,9
Traffic aware - zone balance off,G15_6,2443.0,8,9
Traffic aware - zone balance off,G15_7,2601.0,9,9
Traffic aware - zone balance off,G15_8,2600.0,8,8
Traffic aware - zone balance off,G15_9,3037.0,7,8
Traffic aware - zone balance off,G17_1,1734.0,9,9
Traffic aware - zone balance off,G17_10,3195.0,9,11
Traffic aware - zone balance off,G17_12,3672.0,8,9
Traffic aware - zone balance off,G17_13,3644.0,9,9
Traffic aware - zone balance off,G17_14,4018.0,10,10
Traffic aware - zone balance off,G17_15,4555.0,10,10
Traffic aware - zone balance off,G17_2,1899.0,8,8
Traffic aware - zone balance off,G17_4,2160.0,8,9
Traffic aware - zone balance off,G17_5,2226.0,9,11
Traffic aware - zone balance off,G17_6,2463.0,10,10
Traffic aware - zone balance off,G17_7,2906.0,10,10
Traffic aware - zone balance off,G17_8,2811.0,10,10
Traffic aware - zone balance off,G17_9,3024.0,7,8
Traffic aware - zone balance off,G18_1,1593.0,10,10
Traffic aware - zone balance off,G18_10,3121.0,9,10
Traffic aware - zone balance off,G18_12,3630.0,10,10
Traffic aware - zone balance off,G18_13,3766.0,9,10
Traffic aware - zone balance off,G18_14,4429.0,9,10
Traffic aware - zone balance off,G18_15,4231.0,11,12
Traffic aware - zone balance off,G18_2,1797.0,9,10
Traffic aware - zone balance off,G18_4,2211.0,11,12
Traffic aware - zone balance off,G18_5,2318.0,9,11
Traffic aware - zone balance off,G18_6,2556.0,7,8
Traffic aware - zone balance off,G18_7,2493.0,10,10
Traffic aware - zone balance off,G18_8,2659.0,9,9
Traffic aware - zone balance off,G18_9,2956.0,9,9
Traffic aware - zone balance off,G20_1,1572.0,10,11
Traffic aware - zone balance off,G20_10,2999.0,10,11
Traffic aware - zone balance off,G20_12,3634.0,10,11
Traffic aware - zone balance off,G20_13,3746.0,10,11
Traffic aware - zone balance off,G20_14,3923.0,10,10
Traffic aware - zone balance off,G20_15,4270.0,10,10
Traffic aware - zone balance off,G20_2,1765.0,8,10
Traffic aware - zone balance off,G20_4,2114.0,8,9
Traffic aware - zone balance off,G20_5,2239.0,10,10
Traffic aware - zone balance off,G20_6,2398.0,8,10
Traffic aware - zone balance off,G20_7,2490.0,9,9
Traffic aware - zone balance off,G20_8,2686.0,11,11
Traffic aware - zone balance off,G20_9,2761.0,11,11
Traffic aware - zone balance off,G21_1,1559.0,9,11
Traffic aware - zone balance off,G21_10,3144.0,9,10
Traffic aware - zone balance off,G21_12,3372.0,10,10
Traffic aware - zone balance off,G21_13,3683.0,11,12
Traffic aware - zone balance off,G21_14,3885.0,12,12
Traffic aware - zone balance off,G21_15,4055.0,10,10
Traffic aware - zone balance off,G21_2,1783.0,9,9
Traffic aware - zone balance off,G21_4,2024.0,10,10
Traffic aware - zone balance off,G21_5,2198.0,8,8
Traffic aware - zone balance off,G21_6,2459.0,10,10
Traffic aware - zone balance off,G21_7,2389.0,10,10
Traffic aware - zone balance off,G21_8,2587.0,9,10
Traffic aware - zone balance off,G21_9,3210.0,10,11
Traffic aware - zone balance off,G23_1,1480.0,10,10
Traffic aware - zone balance off,G23_10,2959.0,11,11
Traffic aware - zone balance off,G23_12,3229.0,11,12
Traffic aware - zone balance off,G23_13,3655.0,11,12
Traffic aware - zone balance off,G23_14,3697.0,9,9
Traffic aware - zone balance off,G23_15,4110.0,11,12
Traffic aware - zone balance off,G23_2,1682.0,8,8
Traffic aware - zone balance off,G23_4,2023.0,8,9
Traffic aware - zone balance off,G23_5,2092.0,9,10
