sku,pick_frequency,total_quantity_ea,active_days,cumulative_frequency_share,velocity_class,req_max_item_length,req_max_item_width,req_max_item_height,req_max_item_weight,physical_data_status,physical_storage_class
140078,67,189.0,59,0.994333,C,,,,,MISSING,UNVERIFIED_OVERSIZE
113164,66,8800.0,52,0.9944,C,4.0,7.4,4.6,55.0,COMPLETE,STANDARD
129752,66,880.0,28,0.994467,C,8.3,11.9,9.0,320.0,COMPLETE,OVERWEIGHT
107123,64,4800.0,46,0.994532,C,,,,,MISSING,UNVERIFIED_OVERSIZE
111990,64,4980.0,25,0.994597,C,9.7,7.0,7.0,,MISSING,UNVERIFIED_OVERSIZE
125371,64,612.0,53,0.994662,C,5.9,13.4,3.1,50.0,COMPLETE,STANDARD
134885,62,92.0,44,0.994725,C,,,,,MISSING,UNVERIFIED_OVERSIZE
135545,62,589.0,46,0.994788,C,3.9,10.1,4.7,105.0,COMPLETE,STANDARD
101160,61,100.0,39,0.99485,C,4.5,4.5,7.5,,MISSING,UNVERIFIED_OVERSIZE
111324,61,400.0,41,0.994912,C,14.2,2.5,6.5,,MISSING,UNVERIFIED_OVERSIZE
124298,61,696.0,51,0.994975,C,4.3,5.3,15.2,45.0,COMPLETE,STANDARD
101138,60,3000.0,9,0.995036,C,,,,,MISSING,UNVERIFIED_OVERSIZE
107198,60,97.0,51,0.995097,C,,,,,MISSING,UNVERIFIED_OVERSIZE
115980,60,7500.0,12,0.995158,C,,,,,MISSING,UNVERIFIED_OVERSIZE
134499,60,1030.0,37,0.995219,C,,,,,MISSING,UNVERIFIED_OVERSIZE
101195,59,120.0,16,0.995279,C,9.9,2.3,3.0,,MISSING,UNVERIFIED_OVERSIZE
112352,58,2255.0,13,0.995338,C,,,,,MISSING,UNVERIFIED_OVERSIZE
121892,58,480.0,48,0.995397,C,,,,,MISSING,UNVERIFIED_OVERSIZE
101069,57,1030.0,34,0.995455,C,,,,,MISSING,UNVERIFIED_OVERSIZE
111309,57,9000.0,26,0.995513,C,4.8,4.7,8.0,,MISSING,UNVERIFIED_OVERSIZE
112356,57,780.0,49,0.995571,C,,,,,MISSING,UNVERIFIED_OVERSIZE
107171,56,136.0,41,0.995628,C,5.6,9.8,2.5,45.0,COMPLETE,STANDARD
107239,56,81.0,39,0.995685,C,4.5,4.5,10.0,,MISSING,UNVERIFIED_OVERSIZE
