resource_id,capacity,before_load,after_load,before_normalized_load,after_normalized_load
lane:149,,0.0,0.0,0.0,0.0
lane:15,,0.0,0.0,0.0,0.0
lane:150,,0.0,0.0,0.0,0.0
lane:151,,0.0,0.0,0.0,0.0
lane:152,,0.0,0.0,0.0,0.0
lane:153,,0.0,0.0,0.0,0.0
lane:154,,0.0,459.0,0.0,0.02322431139053185
lane:155,,0.0,459.0,0.0,0.02322431139053185
lane:156,,0.0,2954.666666666665,0.0,0.14949912575575472
lane:157,,0.0,3167.333333333331,0.0,0.1602595547079401
lane:158,,0.0,3449.9999999999973,0.0,0.17456181764125234
lane:159,,0.0,3908.6666666666633,0.0,0.19776926315568358
lane:16,,0.0,0.0,0.0,0.0
lane:160,,0.0,3763.4999999999973,0.0,0.1904241741138705
lane:161,,0.0,4160.499999999997,0.0,0.21051143254969
lane:162,,0.0,5041.16666666667,0.0,0.25507107720748634
lane:163,,0.0,6592.6666666666715,0.0,0.3335732975177482
lane:164,,0.0,7118.333333333339,0.0,0.360170784128401
lane:165,,0.0,7692.3333333333385,0.0,0.3892138227736412
lane:166,,0.0,7692.3333333333385,0.0,0.3892138227736412
lane:167,,0.0,7602.000000000002,0.0,0.3846431703503773
lane:168,,0.0,7602.000000000002,0.0,0.3846431703503773
lane:169,,0.0,7602.000000000002,0.0,0.3846431703503773
lane:17,,0.0,0.0,0.0,0.0
lane:170,,0.0,7602.000000000002,0.0,0.3846431703503773
lane:171,,0.0,7602.000000000002,0.0,0.3846431703503773
lane:172,,0.0,0.0,0.0,0.0
lane:173,,0.0,0.0,0.0,0.0
lane:174,,0.0,0.0,0.0,0.0
lane:175,,0.0,0.0,0.0,0.0
lane:176,,0.0,0.0,0.0,0.0
lane:177,,0.0,0.0,0.0,0.0
lane:178,,0.0,0.0,0.0,0.0
lane:179,,0.0,0.0,0.0,0.0
lane:18,,0.0,0.0,0.0,0.0
lane:180,,0.0,0.0,0.0,0.0
lane:181,,0.0,0.0,0.0,0.0
lane:182,,0.0,0.0,0.0,0.0
lane:183,,0.0,0.0,0.0,0.0
lane:184,,0.0,0.0,0.0,0.0
lane:185,,0.0,0.0,0.0,0.0
lane:186,,0.0,0.0,0.0,0.0
lane:187,,0.0,0.0,0.0,0.0
lane:188,,0.0,0.0,0.0,0.0
lane:189,,0.0,0.0,0.0,0.0
lane:19,,0.0,0.0,0.0,0.0
lane:190,,0.0,0.0,0.0,0.0
lane:191,,0.0,551.0,0.0,0.027879293194298587
