sku,max_item_length,max_item_width,max_item_height,max_item_weight,chilled,tablet,flammable
107230,0.04,0.04,0.114,0.0349,false,true,false
107232,0.042,0.03,0.101,0.02435,false,true,false
107237,0.059,0.034,0.105,0.0403,true,false,false
107238,0.056,0.1,0.039,0.05,false,true,false
107239,0.045,0.045,0.1,0.03874,false,true,false
107244,0.034,0.034,0.088,0.01946,false,false,false
107248,0.05,0.031,0.096,0.02847,false,true,false
107250,0.043,0.112,0.057,0.015,false,false,false
107251,0.084,0.02,0.045,0.01036,false,true,false
107254,0.078,0.058,0.133,0.11512,false,true,false
107255,0.125,0.025,0.035,0.02093,false,false,true
107256,0.039,0.125,0.031,0.05,false,false,true
107258,0.042,0.154,0.062,0.02,false,true,false
107259,0.042,0.147,0.055,0.03,false,true,false
107261,0.063,0.147,0.027,0.01,false,false,false
107263,0.111,0.022,0.045,0.01506,false,true,false
107264,0.137,0.03,0.072,0.05662,false,true,false
107265,0.109,0.116,0.045,0.09,false,false,false
107266,0.13,0.045,0.13,0.13,false,true,false
107268,0.045,0.03,0.13,0.03358,false,false,false
107269,0.047,0.098,0.033,0.06,false,true,false
107271,0.042,0.112,0.032,0.025,false,false,true
107272,0.042,0.1,0.043,0.075,false,false,false
107274,0.039,0.102,0.035,0.02,false,true,false
107275,0.033,0.12,0.025,0.03,false,false,true
107276,0.115,0.025,0.028,0.0154,false,false,false
107280,0.046,0.123,0.033,0.03,false,false,false
107281,0.041,0.128,0.037,0.025,false,false,true
107283,0.047,0.067,0.05,0.03012,false,false,false
107285,0.102,0.035,0.038,0.02596,false,true,false
107287,0.037,0.101,0.04,0.01,true,true,false
107288,0.049,0.119,0.042,0.03,false,true,false
107290,0.039,0.126,0.054,0.08,true,true,false
107291,0.132,0.027,0.04,0.02728,false,true,false
107292,0.112,0.072,0.08,0.12343,false,true,false
107293,0.15,0.035,0.07,0.07031,false,true,false
107294,0.038,0.121,0.031,0.03,false,false,true
107297,0.021,0.07,0.017,0.025,false,false,false
107300,,,,,false,false,false
107301,0.044,0.126,0.03,0.025,true,true,false
107302,0.125,0.023,0.032,0.0176,false,true,false
107303,0.12,0.034,0.119,0.09289,false,true,false
107304,0.12,0.02,0.034,0.01561,false,false,false
107310,0.085,0.02,0.03,0.015,false,false,true
107311,0.042,0.126,0.03,0.045,false,true,false
107312,0.041,0.121,0.035,0.02,false,true,false
107314,0.144,0.025,0.04,0.02755,false,true,false
107316,,,,,false,true,false
107317,0.039,0.121,0.032,0.03,false,false,false
107321,0.021,0.112,0.02,0.015,false,false,false
107323,0.03,0.093,0.022,0.035,false,false,false
107324,0.049,0.119,0.03,0.025,false,false,false
107326,0.043,0.119,0.047,0.045,false,true,false
107327,0.11,0.02,0.03,0.015,false,false,false
107328,0.109,0.022,0.03,0.015,false,true,false
107329,0.028,0.098,0.017,0.035,false,false,false
107330,0.043,0.142,0.042,0.045,false,false,false
107332,0.1,0.116,0.028,0.06,false,false,false
107333,0.127,0.025,0.03,0.01822,false,true,false
107334,0.09,0.018,0.023,0.015,false,false,false
107336,0.04,0.114,0.025,0.075,true,false,false
107340,0.125,0.022,0.072,0.03788,false,true,false
107342,0.055,0.037,0.1,0.03893,false,true,false
107343,0.13,0.027,0.047,0.03156,false,false,false
107344,0.2,0.04,0.06,0.09184,false,true,false
107347,0.045,0.102,0.046,0.045,true,false,false
107349,0.047,0.067,0.05,0.03012,false,true,false
107364,0.047,0.067,0.05,0.03012,false,true,false
107366,0.12,0.025,0.028,0.01607,false,true,false
107377,0.04,0.04,0.11,0.03367,false,true,false
107380,0.051,0.084,0.027,0.015,false,true,false
107381,0.047,0.067,0.05,0.03012,false,true,false
107382,0.087,0.03,0.03,0.015,false,true,false
107383,0.035,0.084,0.032,0.01,true,true,false
107387,0.047,0.067,0.05,0.03012,true,false,false
107388,0.033,0.08,0.025,0.03,false,true,false
107389,0.029,0.029,0.07,0.015,false,false,true
107393,0.033,0.03,0.065,0.015,false,false,false
107395,0.03,0.03,0.07,0.015,false,true,false
107396,0.056,0.063,0.117,0.055,false,true,false
107398,0.035,0.077,0.037,0.045,true,false,false
107400,0.035,0.056,0.077,0.045,true,true,false
107403,0.04,0.03,0.118,0.02709,false,true,false
107404,0.152,0.02,0.1,0.05816,false,false,false
107405,0.071,0.104,0.022,0.045,false,true,false
107407,0.045,0.101,0.023,0.025,false,true,false
107411,0.044,0.105,0.025,0.01,false,false,false
107412,0.053,0.112,0.027,0.02,false,false,false
107413,0.045,0.084,0.083,0.05,false,true,false
107414,0.067,0.091,0.025,0.045,false,false,false
107416,0.05,0.05,0.118,0.05644,false,false,false
